filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
awake_129.wav,-398.724884,146.4975128,30.95717049,2.709790707,2.331080437,30.71063232,13.52846432,12.20166588,-2.747847795,2.14242506,3.664959669,2.465180159,8.023147583,2.780375719,7.823894501,-0.473329276,3.002570152,1.76725769,1.603186131,0.136473045,awake
awake_136.wav,-355.3284607,67.47832489,-13.90411377,14.17689228,-2.705952168,3.317059994,-8.52077961,20.38427353,8.793118477,-0.235936478,-0.412530094,-2.494643927,3.909513712,-0.886525989,4.116634369,-0.250020593,6.78146553,2.001930952,3.585186958,5.17326355,awake
awake_58.wav,-285.4112854,37.86228561,-59.86568069,21.7571125,-17.95005226,22.69651222,-15.91201878,21.49431419,-13.52617073,5.030344009,0.374878228,-13.0213728,9.612820625,-2.788544655,17.14207268,2.703146696,14.64551067,5.10491991,4.71962738,3.233371973,awake
awake_19.wav,-280.4943542,60.76907349,-51.20517349,22.95553398,-33.13331604,11.36661053,-26.26883507,3.22061801,-22.16492081,-5.513706684,-7.034867287,-17.31676674,2.252814531,-10.04818916,9.248627663,-7.53632021,0.544470787,-11.75662422,-6.090597153,-7.064499378,awake
awake_5.wav,-407.540741,16.79970551,-46.05737686,23.91620255,-25.46824455,18.95336914,-14.84262848,16.71436119,-9.179329872,-14.97333527,10.12571907,0.719477177,16.96630669,18.94619942,18.52167702,-8.889481544,-10.63802528,-9.547637939,1.930681229,-2.507249832,awake
awake_27.wav,-239.9607239,76.77694702,-79.27941895,11.24740219,-18.64803886,14.86258602,-20.18116188,21.16770554,-7.255903244,-6.556362629,4.522507191,-10.74075317,5.564110756,-9.030267715,5.458986759,-3.284063578,2.541225195,0.758343995,-1.412114143,5.095716953,awake
awake_143.wav,-291.1466675,44.79280472,-32.79396439,30.91578674,-69.86077881,-13.85360622,-31.6507473,-3.767681599,-27.90996361,-6.533027649,-9.498661041,-23.33738899,5.825996399,-17.98026276,3.161697388,-6.898453236,-1.013979554,-1.406499982,-3.313854933,1.705902576,awake
awake_38.wav,-292.519989,65.83713531,-53.16095352,12.80045509,-12.29382896,10.95186234,-13.44888878,18.14699554,-8.001822472,-2.406601191,0.281240165,-11.91892147,3.854384184,-7.806289673,6.622943878,0.362977535,8.054796219,8.972342491,4.640450954,3.212922335,awake
awake_68.wav,-255.0157013,65.23954773,-71.01608276,21.65432167,-14.88298321,4.407608032,-23.07030869,23.11471176,-8.449814796,-11.1780386,11.29548836,-7.270200729,9.982334137,-0.299740255,11.49290562,0.6451177,1.379069924,5.036267281,3.12263155,1.431910992,awake
awake_83.wav,-407.4974976,81.79836273,-21.66074944,8.993354797,-25.12999153,-6.586631298,-20.9162178,-5.01437521,-10.25043583,-7.239744663,-11.66611671,-12.72027874,-4.910516739,-13.82528019,-3.051975965,-8.752779961,-1.469233513,-4.807472706,-4.413290024,-3.552915335,awake
awake_106.wav,-436.5012207,62.16874313,-33.23869324,20.91180611,-35.80217361,2.776129961,-12.25192261,-2.437125444,-16.02517891,-7.931726933,-10.656353,-17.81355286,-8.805826187,-16.60030556,-6.64629221,-13.9356451,-2.65276289,-8.884325981,-4.050069332,-4.599447727,awake
awake_87.wav,-509.7380066,124.3612366,-57.83172989,42.80730438,-40.75330353,22.28594589,-31.28291893,5.515695095,-17.22495461,-5.357880116,-10.15838432,-18.55010796,-1.582884312,-19.7732811,0.517998993,-19.88111687,-3.970033407,-12.69643402,-3.197577715,-8.007539749,awake
awake_122.wav,-316.5365601,79.33554077,-14.77217102,28.58201981,-15.94400215,24.70924377,1.685605645,20.71608925,-6.592179298,4.957517147,7.345671177,-3.860037804,5.721292019,-4.45874691,6.336517334,-6.311576366,8.902726173,4.687912941,7.568169594,10.15780067,awake
awake_127.wav,-383.3923035,58.80923462,-26.41596794,13.04042339,-44.07143021,-10.4829731,-24.0950222,1.099358082,-12.16764545,-16.17239571,-6.898383141,-15.82111931,-7.144823074,-16.30804825,-1.74281919,-13.22753716,-2.242524624,1.01503408,-2.920684576,6.54965353,awake
awake_104.wav,-312.0997925,28.54953003,-33.94198227,16.92021942,-61.16774368,-6.02123785,-16.44559288,-1.073473454,-16.02417946,-3.938309908,-2.352411032,-17.74710083,1.879668474,-9.948438644,7.256860256,-9.35424614,1.83035326,2.114112854,-6.585936546,6.224870682,awake
awake_39.wav,-460.4068298,70.51973724,-18.42011452,18.04325294,-35.53203583,-13.47252655,-19.4526577,-3.723950624,-16.89154053,-11.1096096,-9.818177223,-20.26348114,-7.469751358,-14.6531992,-5.593751431,-9.900064468,-1.565069556,-5.173841,-4.824025154,2.360963345,awake
awake_125.wav,-218.4372559,74.49921417,-75.54013824,7.001110554,-29.45942497,12.10772991,-45.49806595,13.75310612,5.155836105,-16.18922424,0.293470174,-14.79744625,7.883855343,-0.834362984,11.76626778,8.987382889,13.45422268,9.638467789,0.219698414,-0.798912764,awake
awake_17.wav,-185.0407562,112.8257904,-61.99178696,16.5398159,-22.10789871,18.88957977,-51.10835266,24.94817543,-6.653487206,-8.295143127,5.62498951,-14.28421116,10.68911171,-5.08467865,13.45263386,1.964105606,8.667502403,-0.238378853,1.248615861,-4.137116432,awake
awake_139.wav,-383.5147705,89.37606049,-34.00450516,9.54843998,-6.100857258,-8.582073212,-7.863367558,-12.78770542,-13.14717674,-9.648238182,-10.33401203,-6.853513241,-7.056864262,-5.492363453,0.49622187,-7.881736279,-9.112849236,-12.7213316,-8.53289032,-6.138149738,awake
awake_21.wav,-224.8414307,131.5531464,-41.1497612,17.81906128,-37.41872025,15.36766529,-38.05007553,35.08244705,0.236574113,-19.28198814,9.184785843,-7.826245785,16.67879868,-12.55345821,9.522489548,0.244003624,-0.753834724,8.825450897,-11.65870762,-7.557643414,awake
