id,label
awake_129.wav,awake
awake_136.wav,awake
awake_58.wav,awake
awake_19.wav,awake
awake_5.wav,awake
awake_27.wav,awake
awake_143.wav,awake
awake_38.wav,hungry
awake_68.wav,hungry
awake_83.wav,awake
awake_106.wav,awake
awake_87.wav,awake
awake_122.wav,sleepy
awake_127.wav,hug
awake_104.wav,awake
awake_39.wav,awake
awake_125.wav,sleepy
awake_17.wav,awake
awake_139.wav,diaper
awake_21.wav,awake
awake_69.wav,sleepy
awake_45.wav,hungry
awake_9.wav,sleepy
awake_157.wav,awake
awake_34.wav,hungry
awake_48.wav,hungry
awake_11.wav,awake
awake_84.wav,awake
awake_23.wav,uncomfortable
awake_56.wav,awake
awake_159.wav,awake
awake_7.wav,uncomfortable
awake_3.wav,awake
awake_51.wav,diaper
awake_94.wav,awake
awake_4.wav,diaper
awake_2.wav,awake
awake_82.wav,awake
awake_95.wav,awake
awake_67.wav,diaper
awake_53.wav,awake
awake_15.wav,diaper
awake_97.wav,hug
awake_16.wav,awake
awake_91.wav,awake
awake_86.wav,sleepy
awake_57.wav,awake
awake_60.wav,awake
awake_28.wav,uncomfortable
awake_101.wav,awake
awake_79.wav,diaper
awake_154.wav,awake
awake_98.wav,hungry
awake_36.wav,diaper
awake_96.wav,hungry
awake_80.wav,awake
awake_93.wav,awake
awake_130.wav,hug
awake_29.wav,uncomfortable
awake_88.wav,awake
awake_131.wav,hug
awake_105.wav,awake
awake_30.wav,awake
awake_74.wav,hungry
awake_26.wav,hungry
awake_149.wav,hungry
awake_49.wav,diaper
awake_151.wav,awake
awake_142.wav,awake
awake_144.wav,diaper
awake_140.wav,awake
awake_13.wav,hug
awake_50.wav,diaper
awake_44.wav,sleepy
awake_72.wav,awake
awake_43.wav,awake
awake_128.wav,awake
awake_109.wav,sleepy
awake_10.wav,awake
awake_124.wav,awake
awake_12.wav,diaper
awake_1.wav,hug
awake_71.wav,awake
awake_42.wav,awake
awake_114.wav,diaper
awake_158.wav,awake
awake_116.wav,awake
awake_153.wav,awake
awake_41.wav,hug
awake_108.wav,hug
awake_22.wav,diaper
awake_148.wav,awake
awake_100.wav,awake
awake_70.wav,diaper
awake_75.wav,awake
awake_64.wav,hungry
awake_8.wav,awake
awake_77.wav,hug
awake_115.wav,diaper
awake_73.wav,hug
awake_47.wav,awake
awake_31.wav,sleepy
awake_119.wav,hungry
awake_66.wav,hug
awake_33.wav,awake
awake_63.wav,awake
awake_89.wav,hungry
awake_37.wav,awake
awake_103.wav,awake
awake_113.wav,awake
awake_90.wav,awake
awake_46.wav,diaper
awake_0.wav,hungry
awake_24.wav,diaper
awake_32.wav,awake
awake_138.wav,sleepy
awake_99.wav,hungry
awake_25.wav,hungry
awake_117.wav,awake
awake_20.wav,awake
awake_147.wav,awake
awake_156.wav,awake
awake_14.wav,awake
awake_146.wav,awake
awake_6.wav,diaper
awake_62.wav,awake
awake_52.wav,sleepy
awake_92.wav,awake
awake_40.wav,awake
awake_123.wav,awake
awake_102.wav,awake
awake_54.wav,awake
awake_107.wav,hungry
awake_110.wav,awake
awake_137.wav,awake
awake_81.wav,sleepy
awake_61.wav,awake
awake_135.wav,hug
awake_59.wav,awake
awake_121.wav,awake
awake_134.wav,awake
awake_155.wav,awake
awake_126.wav,awake
awake_78.wav,uncomfortable
awake_133.wav,awake
awake_112.wav,awake
awake_85.wav,sleepy
awake_152.wav,awake
awake_111.wav,awake
awake_150.wav,diaper
awake_118.wav,diaper
awake_55.wav,hungry
awake_145.wav,hug
awake_18.wav,awake
awake_35.wav,awake
awake_132.wav,awake
awake_120.wav,sleepy
awake_141.wav,awake
awake_65.wav,awake
awake_76.wav,awake
hug_38.wav,hug
hug_7.wav,sleepy
hug_58.wav,hungry
hug_148.wav,hug
hug_22.wav,hug
hug_87.wav,hug
hug_85.wav,hug
hug_90.wav,hug
